Key,Frequency,Percentage
OtherComprehensiveIncomeLossReclassificationPensionAndOtherPostretirementBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostTax,58,11.55%
NotesAndLoansReceivableNetCurrent,58,11.55%
TaxCutsAndJobsActOf2017ReclassificationFromAociToRetainedEarningsTaxEffect,58,11.55%
OtherReceivablesNetCurrent,58,11.55%
RestrictedStockExpense,58,11.55%
DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecurities,58,11.55%
FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization,58,11.55%
AociLossCashFlowHedgeCumulativeGainLossAfterTax,57,11.35%
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageRemainingContractualTerm1,57,11.35%
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,57,11.35%
GainLossOnContractTermination,57,11.35%
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses1,57,11.35%
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,57,11.35%
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,57,11.35%
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease,57,11.35%
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearOne,57,11.35%
IncreaseDecreaseInAccountsPayableTrade,57,11.35%
OtherAssetsMiscellaneousCurrent,57,11.35%
AcquiredFiniteLivedIntangibleAssetWeightedAverageUsefulLife,57,11.35%
LinesOfCreditCurrent,57,11.35%
DerivativeFinancialInstrumentsLiabilitiesFairValueDisclosure,57,11.35%
RealizedInvestmentGainsLosses,57,11.35%
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,57,11.35%
RepaymentsOfConvertibleDebt,57,11.35%
DefinedBenefitPlanTargetAllocationPercentageOfAssetsDebtSecurities,57,11.35%
PriorPeriodReclassificationAdjustment,56,11.16%
EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes,56,11.16%
MarketableSecuritiesRealizedGainLossOtherThanTemporaryImpairmentsAmount,56,11.16%
AccountsPayable,56,11.16%
OtherExpenses,56,11.16%
ProceedsFromSaleOfOtherInvestments,56,11.16%
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNet,56,11.16%
DeferredTaxLiabilitiesPrepaidExpenses,56,11.16%
AdditionalCollateralAggregateFairValue,56,11.16%
CapitalizedComputerSoftwareAmortization1,56,11.16%
DerivativeLiabilityCollateralRightToReclaimCashOffset,56,11.16%
DeconsolidationGainOrLossAmount,56,11.16%
HeldToMaturitySecuritiesFairValue,56,11.16%
InterestAndDebtExpense,56,11.16%
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,56,11.16%
DisposalGroupIncludingDiscontinuedOperationGoodwill1,55,10.96%
DeferredTaxAssetsTaxCreditCarryforwardsResearch,55,10.96%
FairValueAssetsLevel2ToLevel1TransfersAmount,55,10.96%
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,55,10.96%
DebtSecuritiesAvailableForSaleAllowanceForCreditLoss,55,10.96%
CashDivestedFromDeconsolidation,55,10.96%
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,55,10.96%
GainLossOnSaleOfProperties,55,10.96%
PropertyPlantAndEquipmentOther,55,10.96%
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,55,10.96%
CumulativeEffectOnRetainedEarningsNetOfTax1,55,10.96%
OtherIntangibleAssetsNet,55,10.96%
BusinessAcquisitionContingentConsiderationAtFairValue,55,10.96%
GainLossOnDerivativeInstrumentsNetPretax,55,10.96%
PreferredStockDividendRatePercentage,55,10.96%
ProvisionForLoanLeaseAndOtherLosses,55,10.96%
EffectiveIncomeTaxRateReconciliationTaxExemptIncome,55,10.96%
OtherComprehensiveIncomeLossAmortizationPensionAndOtherPostretirementBenefitPlansNetPriorServiceCostRecognizedInNetPeriodicPensionCostNetOfTax,55,10.96%
OtherComprehensiveIncomeAmortizationOfDefinedBenefitPlanNetPriorServiceCostRecognizedInNetPeriodicPensionCostTax,54,10.76%
ProceedsFromCollectionOfNotesReceivable,54,10.76%
DeferredTaxLiabilitiesOtherComprehensiveIncome,54,10.76%
OtherAccruedLiabilitiesNoncurrent,54,10.76%
MarketableSecuritiesNoncurrent,54,10.76%
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,54,10.76%
PensionExpense,54,10.76%
OtherLongTermInvestments,54,10.76%
RestructuringReserveTranslationAdjustment,54,10.76%
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFour,54,10.76%
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,54,10.76%
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearTwo,54,10.76%
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearThree,54,10.76%
DefinedBenefitPlanAmortizationOfNetGainsLosses,54,10.76%
PercentageOfLIFOInventory,54,10.76%
SupplierFinanceProgramObligation,54,10.76%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,54,10.76%
SegmentReportingInformationExpendituresForAdditionsToLongLivedAssets,54,10.76%
LiabilitiesAssumed1,54,10.76%
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansBeforeReclassificationAdjustmentsTax,54,10.76%
PaymentsToAcquireHeldToMaturitySecurities,54,10.76%
ProvisionForLoanLossesExpensed,54,10.76%
ValuationAllowancesAndReservesChargedToOtherAccounts,54,10.76%
DeferredRevenueRevenueRecognized1,54,10.76%
StandardProductWarrantyAccrualWarrantiesIssued,53,10.56%
StockholdersEquityNoteSpinoffTransaction,53,10.56%
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount,53,10.56%
StandardProductWarrantyAccrualPayments,53,10.56%
ProductWarrantyAccrualClassifiedCurrent,53,10.56%
InterestCostsIncurred,53,10.56%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,53,10.56%
ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,53,10.56%
PaymentsToAcquireInterestInJointVenture,53,10.56%
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses1,53,10.56%
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,53,10.56%
PreferredStockDividends,53,10.56%
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,53,10.56%
UnrecognizedTaxBenefitsIncreasesResultingFromForeignCurrencyTranslation,53,10.56%
DeferredCompensationPlanAssets,53,10.56%
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFive,53,10.56%
PaymentsForProceedsFromBusinessesAndInterestInAffiliates,53,10.56%
NumberOfCountriesInWhichEntityOperates,53,10.56%
GainOnSaleOfInvestments,53,10.56%
CapitalLeasesBalanceSheetAssetsByMajorClassNet,53,10.56%
IncreaseDecreaseInIncomeTaxesReceivable,53,10.56%
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,53,10.56%
TaxBenefitFromStockOptionsExercised1,53,10.56%
RepaymentsOfSecuredDebt,53,10.56%
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,53,10.56%
TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsIncomeTaxExpense,52,10.36%
BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,52,10.36%
TaxCutsAndJobsActOf2017ChangeInTaxRateIncomeTaxExpenseBenefit,52,10.36%
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,52,10.36%
DeferredFinanceCostsGross,52,10.36%
IncreaseDecreaseInOtherAccruedLiabilities,52,10.36%
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,52,10.36%
DefinedBenefitPlanSettlementsBenefitObligation,52,10.36%
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,52,10.36%
DefinedBenefitPlanPlanAmendments,52,10.36%
DeferredTaxAssetsEquityMethodInvestments,52,10.36%
DerivativeAssetCollateralObligationToReturnCashOffset,52,10.36%
StockIssuedDuringPeriodSharesTreasuryStockReissued,52,10.36%
DefinedBenefitPlanHealthCareCostTrendRateAssumedNextFiscalYear,52,10.36%
EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossAnnualAmount,51,10.16%
VariableInterestEntityEntityMaximumLossExposureAmount,51,10.16%
OtherAssetsFairValueDisclosure,51,10.16%
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeBeforeTax,51,10.16%
IncreaseDecreaseInAccountsAndOtherReceivables,51,10.16%
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,51,10.16%
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,51,10.16%
AvailableForSaleSecuritiesEquitySecurities,51,10.16%
DeferredTaxAssetsUnrealizedCurrencyLosses,51,10.16%
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfAdditionalSharesAuthorized,51,10.16%
DefinedBenefitPlanBenefitObligationBenefitsPaid,51,10.16%
EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,51,10.16%
EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,51,10.16%
AllowanceForDoubtfulAccountsReceivableRecoveries,51,10.16%
InsuranceRecoveries,51,10.16%
EffectiveIncomeTaxRateReconciliationTaxCreditsForeign,51,10.16%
LiabilitiesOfAssetsHeldForSale,51,10.16%
GoodwillAllocationAdjustment,51,10.16%
PropertyPlantAndEquipmentUsefulLifeMaximum,50,9.96%
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansBeforeTax,50,9.96%
DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsPlanAssets,50,9.96%
OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,50,9.96%
OtherComprehensiveIncomeLossAmortizationPensionAndOtherPostretirementBenefitPlansNetPriorServiceCostRecognizedInNetPeriodicBenefitCostBeforeTax,50,9.96%
ForeignCurrencyTransactionGainLossUnrealized,50,9.96%
DefinedBenefitPlanExpectedFutureBenefitPaymentsInFiveFiscalYearsThereafter,50,9.96%
OtherComprehensiveIncomeAmortizationOfDefinedBenefitPlanNetPriorServiceCostRecognizedInNetPeriodicPensionCostNetOfTax,50,9.96%
EquityMethodInvestmentSummarizedFinancialInformationNoncurrentAssets,50,9.96%
InterestOnConvertibleDebtNetOfTax,50,9.96%
AccruedIncomeTaxes,50,9.96%
RestructuringAndRelatedCostCostIncurredToDate1,49,9.76%
OperatingCostsAndExpenses,49,9.76%
GainLossOnSaleOfEquityInvestments,49,9.76%
CashCashEquivalentsAndShortTermInvestments,49,9.76%
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,49,9.76%
CostmethodInvestmentsOtherThanTemporaryImpairment,49,9.76%
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,49,9.76%
ForeignCurrencyContractAssetFairValueDisclosure,49,9.76%
DefinedBenefitPlanExpectedAmortizationOfGainLossNextFiscalYear,49,9.76%
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,49,9.76%
DefinedBenefitPlanFutureAmortizationOfPriorServiceCostCredit,49,9.76%
DefinedBenefitPlanCurtailments,49,9.76%
TaxCutsAndJobsActOf2017IncompleteAccountingTransitionTaxForAccumulatedForeignEarningsProvisionalIncomeTaxExpense,49,9.76%
ShareBasedCompensationArrangementByShareBasedPaymentAwardCompensationCost,49,9.76%
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,49,9.76%
EquityMethodInvestmentSummarizedFinancialInformationNoncurrentLiabilities,49,9.76%
IncreaseDecreaseInAccruedTaxesPayable,49,9.76%
TaxCreditCarryforwardValuationAllowance,49,9.76%
PurchaseObligationDueInSecondYear,49,9.76%
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,49,9.76%
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,49,9.76%
LitigationSettlementGross,49,9.76%
ProceedsFromNotesPayable,49,9.76%
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,48,9.56%
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1,48,9.56%
AccruedMarketingCostsCurrent,48,9.56%
OtherPrepaidExpenseCurrent,48,9.56%
MarketableSecuritiesRealizedGainLoss,48,9.56%
OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTaxPortionAttributableToParent,48,9.56%
ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,48,9.56%
DefinedBenefitPlanAmountToBeAmortizedFromAccumulatedOtherComprehensiveIncomeLossNextFiscalYear,48,9.56%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,48,9.56%
ReclassificationFromAociCurrentPeriodTax,48,9.56%
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,48,9.56%
UnsecuredDebt,48,9.56%
ProceedsFromIssuanceOfOtherLongTermDebt,48,9.56%
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,48,9.56%
GainLossOnCashFlowHedgeIneffectivenessNet,48,9.56%
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,48,9.56%
ContractualObligationDueInNextTwelveMonths,48,9.56%
PreferredStockValueOutstanding,48,9.56%
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,47,9.36%
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,47,9.36%
OtherComprehensiveIncomeDefinedBenefitPlansTaxPortionAttributableToParent,47,9.36%
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,47,9.36%
ProceedsFromIssuanceInitialPublicOffering,47,9.36%
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,47,9.36%
OtherShortTermInvestments,47,9.36%
RestructuringReserveNoncurrent,47,9.36%
DefinedBenefitPlanSettlementsPlanAssets,47,9.36%
RestructuringReserveTranslationAndOtherAdjustment,47,9.36%
ForeignCurrencyContractsLiabilityFairValueDisclosure,47,9.36%
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,47,9.36%
DebtSecuritiesAvailableForSaleRealizedGainLoss,47,9.36%
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,47,9.36%
LoansAndLeasesReceivableAllowance,47,9.36%
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights,47,9.36%
DeferredTaxExpenseFromStockOptionsExercised,47,9.36%
OtherSundryLiabilitiesCurrent,47,9.36%
BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentLiabilities,47,9.36%
InventoryRawMaterialsAndSupplies,47,9.36%
IncomeTaxCreditsAndAdjustments,46,9.16%
PropertyPlantAndEquipmentUsefulLifeMinimum,46,9.16%
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,46,9.16%
OtherComprehensiveIncomeMinimumPensionLiabilityNetAdjustmentNetOfTax,46,9.16%
LongTermPurchaseCommitmentAmount,46,9.16%
DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsProjectedBenefitObligation,46,9.16%
SeniorLongTermNotes,46,9.16%
MoneyMarketFundsAtCarryingValue,46,9.16%
TaxCutsAndJobsActOf2017IncompleteAccountingChangeInTaxRateProvisionalIncomeTaxExpenseBenefit,46,9.16%
UnrecognizedTaxBenefitsIncomeTaxPenaltiesExpense,46,9.16%
LitigationSettlementAmountAwardedToOtherParty,46,9.16%
ProceedsFromInsuranceSettlementInvestingActivities,46,9.16%
DeferredOtherTaxExpenseBenefit,46,9.16%
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,46,9.16%
DueFromRelatedPartiesCurrent,46,9.16%
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,46,9.16%
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesBeforeTaxPeriodIncreaseDecrease,46,9.16%
EarlyRepaymentOfSeniorDebt,45,8.96%
BusinessCombinationContingentConsiderationLiabilityCurrent,45,8.96%
TranslationAdjustmentForNetInvestmentHedgeIncreaseDecreaseNetOfTax,45,8.96%
AvailableForSaleEquitySecuritiesAmortizedCostBasis,45,8.96%
OperatingLeasesRentExpenseMinimumRentals,45,8.96%
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,45,8.96%
DefinedBenefitPlanPlanAssetsBenefitsPaid,45,8.96%
ProceedsFromStockPlans,45,8.96%
SecuredDebt,45,8.96%
DisposalGroupIncludingDiscontinuedOperationGoodwill,45,8.96%
PreferredStockLiquidationPreference,45,8.96%
PreferredStockDividendsAndOtherAdjustments,45,8.96%
OperatingLeasesIncomeStatementLeaseRevenue,45,8.96%
DebtConversionConvertedInstrumentAmount1,45,8.96%
InterestPayableCurrentAndNoncurrent,45,8.96%
PurchaseObligationDueInThirdYear,45,8.96%
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,45,8.96%
EquityMethodInvestmentDifferenceBetweenCarryingAmountAndUnderlyingEquity,45,8.96%
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,45,8.96%
OperatingLeaseRightOfUseAssetAmortizationExpense,45,8.96%
DebtInstrumentBasisSpreadOnVariableRate1,45,8.96%
InventoryGross,45,8.96%
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile,45,8.96%
LegalFees,45,8.96%
DisposalGroupIncludingDiscontinuedOperationOtherAssets,44,8.76%
EffectiveIncomeTaxRateReconciliationFdiiAmount,44,8.76%
ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,44,8.76%
PaymentsOfOrdinaryDividends,44,8.76%
ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,44,8.76%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,44,8.76%
DeferredTaxAssetsTaxDeferredExpenseOther,44,8.76%
EquityMethodInvestmentSummarizedFinancialInformationAssets,44,8.76%
NotionalAmountOfDerivatives,44,8.76%
UnbilledContractsReceivable,44,8.76%
FairValueMeasuredOnRecurringBasisInvestments,44,8.76%
BusinessExitCosts,44,8.76%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,44,8.76%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,44,8.76%
BusinessAcquisitionPurchasePriceAllocationCurrentAssets,44,8.76%
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeReclassificationAdjustmentsAndTax,44,8.76%
DeferredCompensationLiabilityCurrentAndNoncurrent,44,8.76%
UnbilledReceivablesCurrent,44,8.76%
SegmentReportingInformationDepreciationDepletionAndAmortizationExpense,44,8.76%
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,44,8.76%
EnvironmentalRemediationExpense,44,8.76%
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceived,44,8.76%
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,44,8.76%
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,44,8.76%
EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense,44,8.76%
InterestExpenseOther,44,8.76%
RepaymentsOfUnsecuredDebt,44,8.76%
LitigationReserveCurrent,44,8.76%
PaymentsOfDistributionsToAffiliates,44,8.76%
ProfessionalFees,44,8.76%
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss,43,8.57%
NotionalAmountOfInterestRateFairValueHedgeDerivatives,43,8.57%
DisposalGroupIncludingDiscontinuedOperationAccountsPayable,43,8.57%
InvestmentIncomeInterestAndDividend,43,8.57%
DueToRelatedPartiesCurrent,43,8.57%
LongtermDebtWeightedAverageInterestRate,43,8.57%
PurchaseObligationDueAfterFifthYear,43,8.57%
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves,43,8.57%
WeightedAverageNumberOfSharesIssuedBasic,43,8.57%
BusinessAcquisitionContingentConsiderationPotentialCashPayment,43,8.57%
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentRealizedUponSaleOrLiquidationNetOfTax,43,8.57%
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,43,8.57%
DefinedBenefitPlanAmortizationOfNetPriorServiceCostCredit,43,8.57%
DepreciationNonproduction,43,8.57%
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,43,8.57%
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesCurrentAndNoncurrent,43,8.57%
TemporaryEquityCarryingAmount,43,8.57%
IncreaseDecreaseInPensionAndPostretirementObligations,43,8.57%
CustomerDepositsCurrent,43,8.57%
LoansAndLeasesReceivableNetReportedAmount,43,8.57%
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,43,8.57%
InterestCostsCapitalizedAdjustment,43,8.57%
PurchaseObligationDueInFourthYear,43,8.57%
PaymentsForProceedsFromProductiveAssets,43,8.57%
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,42,8.37%
IncomeTaxHolidayIncomeTaxBenefitsPerShare,42,8.37%
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansBenefitPlanImprovementTaxEffect,42,8.37%
OtherLongTermDebtNoncurrent,42,8.37%
BusinessCombinationContingentConsiderationLiabilityNoncurrent,42,8.37%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,42,8.37%
DeferredTaxAssetsStateTaxes,42,8.37%
ProceedsFromConvertibleDebt,42,8.37%
PaymentsForDerivativeInstrumentFinancingActivities,42,8.37%
EntityWideDisclosureOnGeographicAreasLongLivedAssetsInEntitysCountryOfDomicile,42,8.37%
LineOfCreditFacilityInterestRateAtPeriodEnd,42,8.37%
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance1,42,8.37%
LiabilityForUncertainTaxPositionsCurrent,42,8.37%
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,42,8.37%
IncreaseDecreaseInInterestPayableNet,42,8.37%
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostTax,42,8.37%
DerivativeCollateralObligationToReturnSecurities,42,8.37%
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,42,8.37%
IncrementalCommonSharesAttributableToConversionOfPreferredStock,42,8.37%
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,42,8.37%
EscrowDeposit,42,8.37%
InterestAndOtherIncome,42,8.37%
ImpairmentOfRealEstate,42,8.37%
RestructuringAndRelatedCostExpectedCost,42,8.37%
PaymentsForRepurchaseOfEquity,42,8.37%
IncomeTaxesReceivableNoncurrent,41,8.17%
RestrictedCashAndInvestmentsCurrent,41,8.17%
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNetAvailableforsaleSecurities,41,8.17%
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxPortionAttributableToParent,41,8.17%
LesseeOperatingLeaseLiabilityPaymentsDueNextRollingTwelveMonths,41,8.17%
LiabilitiesOtherThanLongtermDebtNoncurrent,41,8.17%
LossContingencyAccrualProvision,41,8.17%
LitigationReserve,41,8.17%
PaymentsForProceedsFromShortTermInvestments,41,8.17%
ContractWithCustomerAssetNetNoncurrent,41,8.17%
LossContingencyNewClaimsFiledNumber,41,8.17%
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,41,8.17%
DefinedBenefitPlanActuarialNetGainsLosses,41,8.17%
DefinedBenefitPlanExpectedAmortizationOfPriorServiceCostCreditNextFiscalYear,41,8.17%
DefinedBenefitPlanTargetPlanAssetAllocations,41,8.17%
AssetRetirementObligationCurrent,41,8.17%
ProceedsFromLegalSettlements,41,8.17%
CashSurrenderValueOfLifeInsurance,41,8.17%
HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,41,8.17%
ProvisionForLoanAndLeaseLosses,41,8.17%
AssetsFairValueDisclosureRecurring,41,8.17%
ProceedsFromIssuanceOfWarrants,41,8.17%
IncomeTaxReconciliationNondeductibleExpenseRestructuringCharges,41,8.17%
OtherNoncurrentLiabilities,41,8.17%
PaymentsToAcquireOtherProductiveAssets,41,8.17%
IncomeTaxHolidayAggregateDollarAmount,40,7.97%
GainLossOnSaleOfOtherInvestments,40,7.97%
ReclassificationFromAociCurrentPeriodBeforeTaxAttributableToParent,40,7.97%
IncomeTaxReconciliationTaxSettlementsDomestic,40,7.97%
DebtSecuritiesAvailableForSaleExcludingAccruedInterest,40,7.97%
InterestRateDerivativeLiabilitiesAtFairValue,40,7.97%
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,40,7.97%
ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,40,7.97%
EquitySecuritiesFvNiCurrentAndNoncurrent,40,7.97%
ExtinguishmentOfDebtGainLossNetOfTax,40,7.97%
InventoryRawMaterialsAndSuppliesNetOfReserves,40,7.97%
FinancingReceivableAllowanceForCreditLossesRecovery,40,7.97%
NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,40,7.97%
LossContingencyAccrualCarryingValuePeriodIncreaseDecrease,40,7.97%
NoncashOrPartNoncashAcquisitionDebtAssumed1,40,7.97%
DerivativeCollateralRightToReclaimSecurities,40,7.97%
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations,40,7.97%
ProceedsFromIssuanceOfSecuredDebt,40,7.97%
PurchaseObligationDueInFifthYear,40,7.97%
DebtInstrumentRedemptionPricePercentage,40,7.97%
BusinessCombinationConsiderationTransferredLiabilitiesIncurred,40,7.97%
UndistributedEarningsAllocatedToParticipatingSecurities,40,7.97%
PaymentsForProceedsFromHedgeFinancingActivities,40,7.97%
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,40,7.97%
ProceedsFromSaleOfEquitySecuritiesFvNi,39,7.77%
ShareBasedCompensationArrangementByShareBasedPaymentAwardAcceleratedCompensationCost,39,7.77%
StandardProductWarrantyAccrualPreexistingIncreaseDecrease,39,7.77%
OtherComprehensiveIncomeAmortizationOfDefinedBenefitPlanNetPriorServiceCostCreditRecognizedInNetPeriodicBenefitCostBeforeTax,39,7.77%
InterestRateCashFlowHedgeGainLossReclassifiedToEarningsNet,39,7.77%
BusinessAcquisitionProFormaRevenue,39,7.77%
DefinedBenefitPlanExpectedAmortizationNextFiscalYear,39,7.77%
AccruedProfessionalFeesCurrent,39,7.77%
EntityWideDisclosureOnGeographicAreasLongLivedAssetsInForeignCountries,39,7.77%
